報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,
2026年06週(02月02日～02月08日),2026年02月12日作成,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
福島県,63,4.85,3,0.23,17,1.31,15,1.15,8,0.62,11,0.85,9,0.69
茨城県,113,7.06,4,0.31,27,1.59,22,1.29,27,1.59,20,1.18,13,0.76
栃木県,37,3.36,0,0,9,0.75,5,0.42,11,0.92,4,0.33,8,0.67
群馬県,22,2.44,4,0.8,3,0.3,4,0.4,3,0.3,3,0.3,5,0.5
埼玉県,62,1.63,3,0.23,21,0.49,10,0.23,10,0.23,10,0.23,8,0.19
千葉県,68,2.13,1,0.04,20,0.59,11,0.32,11,0.32,9,0.26,16,0.47
東京都,50,1.39,5,0.19,15,0.38,11,0.28,5,0.13,8,0.21,6,0.15
神奈川県,155,3.37,3,0.11,34,0.68,29,0.57,34,0.69,32,0.64,23,0.47
新潟県,8,0.8,1,0.1,3,0.3,1,0.1,1,0.1,1,0.1,1,0.1
富山県,1,0.17,0,0,0,0,0,0,1,0.14,0,0,0,0
石川県,44,6.29,3,0.43,7,1,7,1,10,1.43,4,0.57,13,1.86
福井県,2,0.67,0,0,0,0,1,0.33,0,0,1,0.33,0,0
山梨県,8,0.89,0,0,1,0.11,2,0.22,1,0.11,2,0.22,2,0.22
長野県,65,7.22,4,0.67,13,1.3,12,1.2,14,1.4,9,0.9,13,1.3
岐阜県,3,0.27,0,0,0,0,3,0.27,0,0,0,0,0,0
静岡県,12,0.55,0,0,1,0.05,1,0.05,0,0,5,0.23,5,0.23
愛知県,57,1.63,0,0,25,0.71,6,0.17,6,0.17,11,0.31,9,0.26
三重県,10,0.91,1,0.17,2,0.17,3,0.25,2,0.17,1,0.08,1,0.08
滋賀県,1,0.11,0,0,1,0.11,0,0,0,0,0,0,0,0
京都府,8,0.47,0,0,2,0.11,0,0,3,0.17,1,0.06,2,0.11
大阪府,93,1.82,2,0.04,27,0.53,13,0.25,18,0.35,14,0.27,19,0.37
兵庫県,38,1.15,0,0,9,0.26,6,0.17,7,0.2,9,0.26,7,0.2
奈良県,13,1.63,0,0,3,0.33,2,0.22,1,0.1,3,0.3,4,0.4
和歌山県,6,2,0,0,3,0.75,1,0.25,0,0,2,0.5,0,0
鳥取県,2,0.4,0,0,1,0.2,0,0,0,0,1,0.2,0,0
島根県,11,3.67,0,0,5,1.67,1,0.33,1,0.33,3,1,1,0.33
岡山県,11,0.92,0,0,4,0.33,3,0.25,1,0.08,1,0.08,2,0.17
広島県,68,4,1,0.09,18,0.95,9,0.47,13,0.68,17,0.89,10,0.53
山口県,17,1.89,0,0,4,0.44,2,0.22,3,0.33,2,0.22,6,0.67
徳島県,3,0.75,0,0,2,0.5,0,0,0,0,1,0.25,0,0
香川県,14,3.5,0,0,1,0.2,2,0.4,3,0.6,4,0.8,4,0.8
愛媛県,76,10.86,4,1.33,11,1.38,15,1.88,12,1.5,19,2.38,15,1.88
高知県,3,1,0,0,2,0.67,0,0,0,0,0,0,1,0.33
福岡県,104,4,5,0.19,37,1.42,19,0.73,15,0.58,9,0.35,19,0.73
佐賀県,5,1.67,0,0,2,0.5,1,0.25,1,0.25,1,0.25,0,0
長崎県,61,8.71,1,0.14,18,2.25,14,1.75,11,1.38,5,0.63,12,1.5
熊本県,45,5.63,1,0.14,12,1.33,10,1.11,11,1.22,4,0.44,7,0.78
大分県,17,3.4,3,0.6,5,1,0,0,3,0.6,4,0.8,2,0.4
宮崎県,47,9.4,5,1.25,13,2.17,4,0.67,9,1.5,6,1,10,1.67
鹿児島県,35,5,0,0,7,1,11,1.57,6,0.86,8,1.14,3,0.43
沖縄県,146,16.22,5,0.56,39,4.33,29,3.22,28,3.11,15,1.67,30,3.33
,,,,,,,,,,,,,,
細菌性髄膜炎,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,44,0.09,8,0.02,10,0.02,5,0.01,9,0.02,7,0.01,5,0.01
北海道,1,0.04,1,0.04,0,0,0,0,0,0,0,0,0,0
青森県,1,0.17,0,0,0,0,0,0,1,0.17,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,1,0.08,1,0.08,0,0,0,0,0,0,0,0,0,0
栃木県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,2,0.17,0,0,1,0.08,0,0,0,0,1,0.08,0,0
千葉県,6,0.67,1,0.11,1,0.11,0,0,1,0.11,1,0.11,2,0.22
東京都,4,0.16,0,0,1,0.04,0,0,3,0.12,0,0,0,0
神奈川県,4,0.33,1,0.08,2,0.17,0,0,1,0.08,0,0,0,0
新潟県,2,0.15,1,0.08,0,0,1,0.08,0,0,0,0,0,0
富山県,1,0.2,0,0,0,0,0,0,0,0,0,0,1,0.2
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,1,0.17,0,0,0,0,0,0,1,0.17,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,1,0.08,0,0,0,0,1,0.08,0,0,0,0,0,0
岐阜県,1,0.2,1,0.2,0,0,0,0,0,0,0,0,0,0
静岡県,1,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0
愛知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三重県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,1,0.14,0,0,0,0,0,0,0,0,1,0.14,0,0
大阪府,3,0.17,0,0,1,0.06,1,0.06,0,0,1,0.06,0,0
兵庫県,2,0.14,0,0,0,0,1,0.07,0,0,1,0.07,0,0
奈良県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,1,0.09,1,0.09,0,0,0,0,0,0,0,0,0,0
鳥取県,1,0.2,0,0,0,0,0,0,0,0,1,0.2,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,1,0.2,0,0,0,0,0,0,0,0,0,0,1,0.2
広島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山口県,1,0.11,0,0,1,0.11,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,2,0.25,0,0,1,0.13,0,0,0,0,1,0.13,0,0
福岡県,3,0.2,0,0,1,0.07,1,0.07,0,0,0,0,1,0.07
佐賀県,2,0.33,0,0,0,0,0,0,2,0.33,0,0,0,0
長崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
熊本県,1,0.07,0,0,1,0.07,0,0,0,0,0,0,0,0
大分県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
無菌性髄膜炎,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,79,0.16,14,0.03,15,0.03,12,0.02,15,0.03,11,0.02,12,0.02
北海道,2,0.09,1,0.04,0,0,0,0,0,0,1,0.04,0,0
青森県,1,0.17,1,0.17,0,0,0,0,0,0,0,0,0,0
岩手県,3,0.16,0,0,1,0.05,1,0.05,0,0,0,0,1,0.05
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,1,0.1,0,0,0,0,1,0.1,0,0,0,0,0,0
福島県,1,0.14,0,0,0,0,0,0,0,0,1,0.14,0,0
茨城県,2,0.15,0,0,1,0.08,0,0,0,0,1,0.08,0,0
栃木県,2,0.29,0,0,2,0.29,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,6,0.5,0,0,1,0.08,1,0.08,2,0.17,1,0.08,1,0.08
千葉県,2,0.22,1,0.11,0,0,0,0,0,0,0,0,1,0.11
東京都,3,0.12,1,0.04,1,0.04,0,0,0,0,1,0.04,0,0
神奈川県,15,1.25,2,0.17,2,0.17,2,0.17,4,0.33,4,0.33,1,0.08
新潟県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,2,0.33,0,0,1,0.17,0,0,1,0.17,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,3,0.25,1,0.08,0,0,1,0.08,0,0,0,0,1,0.08
岐阜県,1,0.2,0,0,0,0,0,0,1,0.2,0,0,0,0
静岡県,1,0.1,0,0,0,0,0,0,1,0.1,0,0,0,0
愛知県,5,0.33,1,0.07,1,0.07,1,0.07,0,0,0,0,2,0.13
三重県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,2,0.11,0,0,1,0.06,0,0,0,0,0,0,1,0.06
兵庫県,4,0.29,1,0.07,1,0.07,0,0,2,0.14,0,0,0,0
奈良県,2,0.33,0,0,0,0,1,0.17,0,0,1,0.17,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,2,0.4,0,0,1,0.2,0,0,0,0,0,0,1,0.2
島根県,2,0.25,0,0,1,0.13,0,0,0,0,0,0,1,0.13
岡山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
広島県,1,0.05,0,0,0,0,0,0,1,0.05,0,0,0,0
山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,1,0.2,0,0,0,0,0,0,1,0.2,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,1,0.13,1,0.13,0,0,0,0,0,0,0,0,0,0
福岡県,3,0.2,1,0.07,1,0.07,1,0.07,0,0,0,0,0,0
佐賀県,2,0.33,0,0,0,0,0,0,0,0,0,0,2,0.33
長崎県,2,0.17,1,0.08,0,0,0,0,1,0.08,0,0,0,0
熊本県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大分県,1,0.09,0,0,0,0,0,0,0,0,1,0.09,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,6,0.86,2,0.29,0,0,3,0.43,1,0.14,0,0,0,0
,,,,,,,,,,,,,,
マイコプラズマ肺炎,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,1253,2.61,205,0.43,319,0.66,245,0.51,180,0.37,146,0.3,158,0.33
北海道,87,3.78,13,0.57,23,1,14,0.61,12,0.52,11,0.48,14,0.61
青森県,25,4.17,3,0.5,4,0.67,5,0.83,2,0.33,3,0.5,8,1.33
岩手県,31,1.63,6,0.32,7,0.37,3,0.16,3,0.16,8,0.42,4,0.21
宮城県,24,2.4,2,0.2,8,0.8,4,0.4,4,0.4,5,0.5,1,0.1
秋田県,49,6.13,13,1.63,15,1.88,10,1.25,2,0.25,4,0.5,5,0.63
山形県,23,2.3,5,0.5,7,0.7,5,0.5,1,0.1,3,0.3,2,0.2
福島県,15,2.14,5,0.71,5,0.71,3,0.43,0,0,0,0,2,0.29
茨城県,60,4.62,12,0.92,17,1.31,9,0.69,3,0.23,5,0.38,14,1.08
栃木県,34,4.86,3,0.43,5,0.71,9,1.29,7,1,4,0.57,6,0.86
群馬県,61,6.78,12,1.33,12,1.33,14,1.56,10,1.11,4,0.44,9,1
埼玉県,25,2.08,3,0.25,5,0.42,7,0.58,2,0.17,3,0.25,5,0.42
千葉県,14,1.56,2,0.22,3,0.33,1,0.11,3,0.33,2,0.22,3,0.33
東京都,44,1.76,6,0.24,14,0.56,8,0.32,4,0.16,5,0.2,7,0.28
神奈川県,28,2.33,1,0.08,6,0.5,6,0.5,5,0.42,2,0.17,8,0.67
新潟県,59,4.54,12,0.92,14,1.08,10,0.77,8,0.62,6,0.46,9,0.69
富山県,9,1.8,1,0.2,3,0.6,0,0,3,0.6,1,0.2,1,0.2
石川県,4,0.8,0,0,2,0.4,1,0.2,1,0.2,0,0,0,0
福井県,15,2.5,1,0.17,2,0.33,3,0.5,4,0.67,4,0.67,1,0.17
山梨県,9,0.9,1,0.1,3,0.3,1,0.1,2,0.2,2,0.2,0,0
長野県,27,2.25,1,0.08,11,0.92,6,0.5,4,0.33,2,0.17,3,0.25
岐阜県,22,4.4,6,1.2,6,1.2,4,0.8,5,1,1,0.2,0,0
静岡県,17,1.7,1,0.1,5,0.5,4,0.4,3,0.3,1,0.1,3,0.3
愛知県,77,5.13,5,0.33,20,1.33,18,1.2,13,0.87,12,0.8,9,0.6
三重県,25,3.13,5,0.63,4,0.44,4,0.44,4,0.44,7,0.78,1,0.11
滋賀県,3,0.43,0,0,2,0.29,0,0,0,0,1,0.14,0,0
京都府,42,6,7,1,10,1.43,13,1.86,3,0.43,5,0.71,4,0.57
大阪府,23,1.28,6,0.33,4,0.22,4,0.22,6,0.33,2,0.11,1,0.06
兵庫県,24,1.71,1,0.07,6,0.43,6,0.43,4,0.29,5,0.36,2,0.14
奈良県,7,1.17,0,0,4,0.67,1,0.17,0,0,2,0.33,0,0
和歌山県,17,1.55,4,0.36,4,0.36,6,0.55,2,0.18,0,0,1,0.09
鳥取県,30,6,7,1.4,10,2,6,1.2,3,0.6,4,0.8,0,0
島根県,27,3.38,2,0.25,10,1.25,4,0.5,8,1,2,0.25,1,0.13
岡山県,19,3.8,3,0.6,5,1,6,1.2,1,0.2,4,0.8,0,0
広島県,88,4.4,30,1.5,21,1.05,16,0.8,9,0.45,6,0.3,6,0.3
山口県,25,2.78,4,0.44,5,0.56,3,0.33,4,0.44,6,0.67,3,0.33
徳島県,20,2.86,3,0.43,4,0.57,4,0.57,4,0.57,1,0.14,4,0.57
香川県,13,2.6,4,0.8,3,0.6,2,0.4,1,0.2,1,0.2,2,0.4
愛媛県,12,2,1,0.17,2,0.33,1,0.17,3,0.5,4,0.67,1,0.17
高知県,12,1.5,0,0,4,0.5,3,0.38,3,0.38,0,0,2,0.25
福岡県,20,1.33,4,0.27,3,0.2,3,0.2,5,0.33,2,0.13,3,0.2
佐賀県,4,0.67,0,0,1,0.17,0,0,2,0.33,0,0,1,0.17
長崎県,19,1.58,0,0,4,0.33,6,0.5,7,0.58,1,0.08,1,0.08
熊本県,25,1.67,3,0.2,8,0.53,8,0.53,5,0.33,0,0,1,0.07
大分県,9,0.82,3,0.27,0,0,0,0,1,0.09,2,0.18,3,0.27
宮崎県,9,1.29,1,0.14,4,0.57,0,0,1,0.14,1,0.14,2,0.29
鹿児島県,20,1.67,3,0.25,4,0.33,4,0.33,3,0.25,2,0.17,4,0.33
沖縄県,1,0.14,0,0,0,0,0,0,0,0,0,0,1,0.14
,,,,,,,,,,,,,,
クラミジア肺炎,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,29,0.06,0,0,5,0.01,4,0.01,6,0.01,8,0.02,6,0.01
北海道,0,0,0,0,0,0,0,0,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,2,0.29,0,0,1,0.14,1,0.14,0,0,0,0,0,0
茨城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栃木県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
千葉県,2,0.22,0,0,0,0,0,0,1,0.11,0,0,1,0.11
東京都,6,0.24,0,0,1,0.04,1,0.04,0,0,1,0.04,3,0.12
神奈川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新潟県,1,0.08,0,0,0,0,0,0,0,0,1,0.08,0,0
富山県,1,0.2,0,0,0,0,0,0,1,0.2,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,3,0.3,0,0,2,0.2,0,0,0,0,1,0.1,0,0
長野県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,1,0.07,0,0,0,0,0,0,1,0.07,0,0,0,0
三重県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,4,0.57,0,0,0,0,2,0.29,0,0,1,0.14,1,0.14
大阪府,8,0.44,0,0,1,0.06,0,0,3,0.17,3,0.17,1,0.06
兵庫県,1,0.07,0,0,0,0,0,0,0,0,1,0.07,0,0
奈良県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
広島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
熊本県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大分県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
感染性胃腸炎（ロタウイルス）,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,94,0.2,4,0.01,13,0.03,17,0.04,14,0.03,18,0.04,28,0.06
北海道,0,0,0,0,0,0,0,0,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,3,0.43,0,0,1,0.14,0,0,1,0.14,0,0,1,0.14
茨城県,2,0.15,0,0,0,0,1,0.08,0,0,0,0,1,0.08
栃木県,2,0.29,0,0,1,0.14,0,0,0,0,0,0,1,0.14
群馬県,6,0.67,0,0,0,0,3,0.33,2,0.22,1,0.11,0,0
埼玉県,4,0.33,0,0,2,0.17,0,0,0,0,0,0,2,0.17
千葉県,3,0.33,0,0,0,0,0,0,1,0.11,2,0.22,0,0
東京都,6,0.24,1,0.04,1,0.04,1,0.04,2,0.08,1,0.04,0,0
神奈川県,5,0.42,0,0,1,0.08,3,0.25,0,0,1,0.08,0,0
新潟県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富山県,2,0.4,0,0,0,0,0,0,0,0,0,0,2,0.4
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,5,0.83,0,0,1,0.17,1,0.17,0,0,1,0.17,2,0.33
山梨県,2,0.2,0,0,0,0,0,0,1,0.1,0,0,1,0.1
長野県,1,0.08,1,0.08,0,0,0,0,0,0,0,0,0,0
岐阜県,1,0.2,0,0,0,0,1,0.2,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,1,0.07,0,0,0,0,0,0,1,0.07,0,0,0,0
三重県,1,0.13,0,0,0,0,1,0.11,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,3,0.43,0,0,0,0,0,0,0,0,2,0.29,1,0.14
大阪府,6,0.33,0,0,1,0.06,2,0.11,1,0.06,0,0,2,0.11
兵庫県,3,0.21,0,0,0,0,1,0.07,2,0.14,0,0,0,0
奈良県,2,0.33,0,0,1,0.17,0,0,1,0.17,0,0,0,0
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,3,0.6,0,0,0,0,0,0,1,0.2,1,0.2,1,0.2
広島県,7,0.35,0,0,0,0,0,0,1,0.05,5,0.25,1,0.05
山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,2,0.29,1,0.14,0,0,0,0,0,0,0,0,1,0.14
香川県,7,1.4,0,0,0,0,0,0,0,0,3,0.6,4,0.8
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,5,0.63,0,0,0,0,2,0.25,0,0,1,0.13,2,0.25
福岡県,3,0.2,1,0.07,0,0,0,0,0,0,0,0,2,0.13
佐賀県,1,0.17,0,0,0,0,0,0,0,0,0,0,1,0.17
長崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
熊本県,2,0.13,0,0,1,0.07,0,0,0,0,0,0,1,0.07
大分県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮崎県,3,0.43,0,0,2,0.29,0,0,0,0,0,0,1,0.14
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,3,0.43,0,0,1,0.14,1,0.14,0,0,0,0,1,0.14
,,,,,,,,,,,,,,
COVID-19,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,42810,11.55,3640,1.13,5996,1.58,5834,1.53,7574,1.99,9480,2.49,10286,2.71
北海道,6000,36.59,654,4.51,874,5.23,821,4.89,1012,6.02,1280,7.62,1359,8.09
青森県,915,18.3,83,1.84,95,1.83,111,2.13,192,3.69,227,4.37,207,3.98
岩手県,1236,29.43,93,2.21,135,3.21,121,2.88,179,4.26,307,7.31,401,9.55
宮城県,1262,22.95,89,1.62,180,3.27,181,3.29,231,4.2,296,5.38,285,5.18
秋田県,477,19.88,73,3.32,69,2.76,74,2.96,94,3.76,79,3.16,88,3.52
山形県,940,25.41,68,2.43,88,2.26,102,2.68,199,5.1,264,6.77,219,5.62
福島県,1389,28.94,213,4.44,221,4.6,195,4.06,214,4.46,290,6.04,256,5.33
茨城県,1337,20.57,134,2.44,177,2.64,158,2.36,218,3.25,328,4.9,322,4.81
栃木県,1332,30.27,63,2.17,158,3.36,180,3.83,277,5.89,319,6.79,335,7.13
群馬県,640,15.61,40,1.67,74,1.64,82,1.82,105,2.33,176,3.91,163,3.62
埼玉県,2793,17.03,182,1.72,377,2.14,420,2.39,484,2.75,640,3.64,690,3.94
千葉県,1939,10.89,106,0.69,262,1.44,242,1.32,326,1.78,472,2.58,531,2.9
東京都,2663,6.74,95,0.34,341,0.81,327,0.78,434,1.04,617,1.48,849,2.04
神奈川県,2164,9.58,72,0.5,299,1.24,222,0.92,429,1.77,473,1.94,669,2.75
新潟県,1166,21.2,96,1.75,173,3.15,132,2.4,190,3.45,297,5.4,278,5.05
富山県,447,9.93,15,0.38,51,1.09,52,1.11,83,1.77,108,2.3,138,2.94
石川県,389,8.28,14,0.3,58,1.23,72,1.53,75,1.6,78,1.66,92,1.96
福井県,241,6.18,26,0.67,35,0.9,42,1.08,44,1.13,38,0.97,56,1.44
山梨県,558,15.94,34,0.97,81,2.31,74,2.11,109,3.11,112,3.2,148,4.23
長野県,1188,24.75,105,2.63,163,3.26,128,2.56,211,4.22,281,5.62,300,6
岐阜県,639,14.52,107,2.49,107,2.38,107,2.38,90,2,118,2.62,110,2.44
静岡県,1494,10.75,108,0.78,179,1.29,238,1.71,282,2.03,358,2.58,329,2.37
愛知県,1679,10.3,210,1.29,268,1.64,263,1.61,291,1.79,336,2.06,311,1.91
三重県,553,8.64,31,0.72,72,1.04,81,1.17,121,1.75,143,2.07,105,1.54
滋賀県,359,6.53,41,0.95,36,0.62,32,0.55,52,0.9,92,1.59,106,1.83
京都府,569,8.75,54,0.87,72,1.09,81,1.21,119,1.8,103,1.56,140,2.12
大阪府,1237,4.27,100,0.34,206,0.71,194,0.67,220,0.76,253,0.87,264,0.91
兵庫県,1151,7.24,110,0.8,151,0.92,193,1.18,246,1.5,233,1.42,218,1.33
奈良県,247,6.68,6,0.35,53,1.29,51,1.24,34,0.81,54,1.29,49,1.17
和歌山県,328,7.45,20,0.47,75,1.67,51,1.13,54,1.2,64,1.42,64,1.42
鳥取県,295,10.17,32,1.1,42,1.45,41,1.41,50,1.72,52,1.79,78,2.69
島根県,273,13.65,24,1.2,22,1.1,38,1.9,41,2.05,65,3.25,83,4.15
岡山県,392,7.84,32,0.64,70,1.4,54,1.08,86,1.72,76,1.52,74,1.48
広島県,570,6.4,60,0.86,91,0.98,100,1.08,115,1.24,108,1.16,96,1.03
山口県,416,6.6,44,0.7,75,1.19,67,1.06,64,1.02,74,1.17,92,1.46
徳島県,346,10.48,16,0.48,43,1.3,47,1.42,70,2.12,79,2.39,91,2.76
香川県,246,10.7,29,1.26,28,1.22,30,1.3,46,2,46,2,67,2.91
愛媛県,533,15.23,38,1.46,90,2.43,73,1.97,88,2.38,113,3.05,131,3.54
高知県,516,13.58,64,1.68,91,2.39,76,2,104,2.74,86,2.26,95,2.5
福岡県,425,3.48,85,0.7,62,0.5,63,0.52,77,0.63,69,0.57,69,0.57
佐賀県,109,4.74,4,0.18,16,0.67,19,0.79,28,1.17,17,0.71,25,1.04
長崎県,203,4.06,20,0.41,48,0.94,37,0.73,35,0.69,27,0.53,36,0.71
熊本県,361,5.08,27,0.39,62,0.86,46,0.64,56,0.78,83,1.15,87,1.21
大分県,269,4.64,44,0.76,52,0.9,40,0.69,33,0.57,48,0.83,52,0.9
宮崎県,178,6.59,16,0.67,28,1,22,0.79,24,0.86,36,1.29,52,1.86
