,Disease,DiseaseCode,Year,Month,Date,Cases,AnnualTotal,RecordType,Source,SourceURL
128,Legionnaires' Disease,,1997,5,1997-05-01,0,2,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
129,Leprosy,,1997,5,1997-05-01,0,11,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
130,Malaria,,1997,5,1997-05-01,13,101,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
131,Measles,,1997,5,1997-05-01,59,316,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
132,Meningococcal Infections,,1997,5,1997-05-01,1,5,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
133,Mumps,,1997,5,1997-05-01,3,51,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
134,Paratyphoid Fever,,1997,5,1997-05-01,0,18,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
135,Plague,,1997,5,1997-05-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
136,Rabies(Human),,1997,5,1997-05-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
137,Relapsing Fever,,1997,5,1997-05-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
138,Rubella,,1997,5,1997-05-01,1227,4958,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
139,Scarlet Fever,,1997,5,1997-05-01,11,77,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
140,Tetanus,,1997,5,1997-05-01,1,8,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
141,Tuberculosis,,1997,5,1997-05-01,808,7072,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
142,Typhoid Fever,,1997,5,1997-05-01,7,71,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
143,Typhus Fever,,1997,5,1997-05-01,0,8,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
144,Viral Hepatitis - A,,1997,5,1997-05-01,75,595,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
145,Viral Hepatitis - B,,1997,5,1997-05-01,8,100,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
146,Viral Hepatitis - C,,1997,5,1997-05-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
147,Viral Hepatitis - E,,1997,5,1997-05-01,0,4,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
148,Viral Hepatitis - Unclassified,,1997,5,1997-05-01,2,37,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
149,Whooping Cough,,1997,5,1997-05-01,3,12,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
150,Yellow Fever,,1997,5,1997-05-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
151,Acute Poliomyelitis,,1997,6,1997-06-01,0,0,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
152,Amoebic Dysentery,,1997,6,1997-06-01,0,12,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
153,Bacillary Dysentery,,1997,6,1997-06-01,13,363,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
154,Cholera,,1997,6,1997-06-01,0,14,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
155,Dengue Fever,,1997,6,1997-06-01,0,10,cases,"Hong Kong, China CHP Notifiable Infectious Diseases",https://www.chp.gov.hk/files/misc/nid1997en.csv
